OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,OrderQuantity,DiscountApplied,UnitCost,UnitPrice,TotalRevenue,TotalCost,Profit,DiscountedRevenue
"SO - 000111",Distributor,WARE-XYS1001,2017-12-31,2018-06-01,2018-06-15,2018-06-20,USD,23,21,17,38,6,0.1,124.62,201,1206,747.72,458.28,1085.4
"SO - 000114",In-Store,WARE-PUJ1005,2010-04-18,2018-06-01,2018-06-07,2018-06-15,USD,8,17,291,32,6,0.15,216.41,254.6,1527.6,1298.46,229.14,1298.46
"SO - 000118",In-Store,WARE-XYS1001,2010-04-18,2018-06-01,2018-06-06,2018-06-14,USD,8,30,21,3,4,0.1,393.96,984.9,3939.6,1575.84,2363.76,3545.64
"SO - 000122",In-Store,WARE-PUJ1005,2010-04-18,2018-06-02,2018-06-10,2018-06-16,USD,2,14,282,1,7,0.075,654.46,991.6,6941.2,4581.22,2359.98,6420.61
"SO - 000125",In-Store,WARE-NMK1003,2010-04-18,2018-06-02,2018-06-16,2018-06-24,USD,4,15,173,13,1,0.15,131.32,268,268,131.32,136.68,227.8
"SO - 000126",Online,WARE-NMK1003,2017-12-31,2018-06-02,2018-06-21,2018-07-01,USD,18,46,110,24,7,0.1,95.81,174.2,1219.4,670.67,548.73,1097.46
"SO - 000137",In-Store,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-14,2018-06-21,USD,7,46,256,1,1,0.075,120.2,261.3,261.3,120.2,141.1,241.7
"SO - 000138",Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-28,2018-07-08,USD,12,22,360,17,8,0.05,698.81,998.3,7986.4,5590.48,2395.92,7587.08
"SO - 000152",Online,WARE-NMK1003,2010-04-18,2018-06-05,2018-06-25,2018-06-29,USD,16,25,141,22,6,0.3,582.5,924.6,5547.6,3495,2052.6,3883.32
"SO - 000159",Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-07-01,2018-07-04,USD,14,47,60,1,1,0.4,686.08,857.6,857.6,686.08,171.52,514.56
"SO - 000168",Distributor,WARE-UHY1004,2017-12-31,2018-06-08,2018-06-19,2018-06-25,USD,23,42,215,37,8,0.05,132.66,241.2,1929.6,1061.28,868.32,1833.12
"SO - 000170",Distributor,WARE-NMK1003,2017-12-31,2018-06-08,2018-06-14,2018-06-19,USD,25,11,169,10,5,0.3,107.07,227.8,1139,535.35,603.65,797.3
"SO - 000178",Wholesale,WARE-UHY1004,2010-04-18,2018-06-09,2018-07-05,2018-07-13,USD,26,28,231,28,6,0.2,128.98,234.5,1407,773.88,633.12,1125.6
"SO - 000179",Online,WARE-NMK1003,2010-04-18,2018-06-09,2018-06-14,2018-06-17,USD,13,42,158,11,4,0.075,143.72,261.3,1045.2,574.88,470.32,966.81
"SO - 000182",In-Store,WARE-UHY1004,2010-04-18,2018-06-10,2018-07-07,2018-07-09,USD,10,34,255,15,5,0.05,90.45,167.5,837.5,452.25,385.25,795.62
"SO - 000187",In-Store,WARE-MKL1006,2017-12-31,2018-06-11,2018-06-29,2018-07-01,USD,6,47,337,30,3,0.1,632.68,891.1,2673.3,1898.04,775.26,2405.97
"SO - 000190",Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-28,2018-07-07,USD,20,38,185,5,2,0.3,545.51,924.6,1849.2,1091.02,758.18,1294.44
"SO - 000196",Wholesale,WARE-XYS1001,2017-12-31,2018-06-12,2018-06-25,2018-06-27,USD,27,5,21,17,7,0.05,144.45,187.6,1313.2,1011.15,302.05,1247.54
"SO - 000203",Distributor,WARE-XYS1001,2010-04-18,2018-06-12,2018-06-17,2018-06-25,USD,20,44,58,23,5,0.075,566.15,871,4355,2830.75,1524.25,4028.38
"SO - 000208",In-Store,WARE-XYS1001,2010-04-18,2018-06-13,2018-06-17,2018-06-19,USD,2,5,58,39,5,0.1,135.01,207.7,1038.5,675.05,363.45,934.65
"SO - 000210",Online,WARE-UHY1004,2010-04-18,2018-06-13,2018-07-03,2018-07-13,USD,13,17,241,20,7,0.1,517.37,958.1,6706.7,3621.59,3085.11,6036.03
"SO - 000216",Online,WARE-PUJ1005,2017-12-31,2018-06-14,2018-06-26,2018-07-01,USD,15,18,277,21,1,0.075,603,837.5,837.5,603,234.5,774.69
"SO - 000218",Wholesale,WARE-PUJ1005,2010-04-18,2018-06-14,2018-06-29,2018-07-03,USD,26,25,306,11,8,0.075,514.56,857.6,6860.8,4116.48,2744.32,6346.24
"SO - 000222",Distributor,WARE-XYS1001,2010-04-18,2018-06-14,2018-06-28,2018-07-06,USD,22,38,39,6,7,0.05,795.22,958.1,6706.7,5566.54,1140.16,6371.36
"SO - 000226",In-Store,WARE-NMK1003,2010-04-18,2018-06-15,2018-06-19,2018-06-23,USD,8,5,198,23,3,0.1,705.51,871,2613,2116.53,496.47,2351.7
"SO - 000227",In-Store,WARE-UHY1004,2017-12-31,2018-06-15,2018-07-12,2018-07-18,USD,1,32,242,5,1,0.05,360.19,750.4,750.4,360.19,390.21,712.88
"SO - 000228",Wholesale,WARE-NMK1003,2010-04-18,2018-06-15,2018-06-23,2018-06-27,USD,27,21,200,14,8,0.075,504.11,763.8,6110.4,4032.88,2077.52,5652.12
"SO - 000229",In-Store,WARE-PUJ1005,2017-12-31,2018-06-15,2018-06-26,2018-07-02,USD,5,49,304,25,6,0.1,565.61,844.2,5065.2,3393.66,1671.54,4558.68
"SO - 000230",In-Store,WARE-XYS1001,2010-04-18,2018-06-15,2018-07-05,2018-07-14,USD,2,6,31,27,7,0.05,112.36,261.3,1829.1,786.52,1042.58,1737.64
"SO - 000238",In-Store,WARE-NMK1003,2017-12-31,2018-06-16,2018-07-05,2018-07-12,USD,10,7,195,37,6,0.15,456.94,737,4422,2741.64,1680.36,3758.7
"SO - 000240",In-Store,WARE-PUJ1005,2017-12-31,2018-06-16,2018-07-12,2018-07-17,USD,2,18,279,41,8,0.05,712.88,891.1,7128.8,5703.04,1425.76,6772.36
"SO - 000241",In-Store,WARE-NMK1003,2010-04-18,2018-06-16,2018-07-14,2018-07-18,USD,7,28,148,9,1,0.15,743.43,978.2,978.2,743.43,234.77,831.47
"SO - 000248",Online,WARE-NBV1002,2010-04-18,2018-06-17,2018-07-10,2018-07-15,USD,20,37,63,12,4,0.15,669.73,984.9,3939.6,2678.92,1260.68,3348.66
"SO - 000249",Distributor,WARE-MKL1006,2010-04-18,2018-06-17,2018-07-02,2018-07-04,USD,21,50,341,7,7,0.05,100.23,227.8,1594.6,701.61,892.99,1514.87
"SO - 000251",Online,WARE-NMK1003,2017-12-31,2018-06-17,2018-06-29,2018-07-08,USD,12,25,163,26,4,0.075,185.72,221.1,884.4,742.88,141.52,818.07
"SO - 000255",In-Store,WARE-NMK1003,2017-12-31,2018-06-18,2018-06-22,2018-06-26,USD,6,22,101,5,4,0.05,126.03,221.1,884.4,504.12,380.28,840.18
"SO - 000269",In-Store,WARE-NBV1002,2010-04-18,2018-06-19,2018-07-16,2018-07-26,USD,1,8,76,36,6,0.4,540.29,844.2,5065.2,3241.74,1823.46,3039.12
"SO - 000270",In-Store,WARE-PUJ1005,2010-04-18,2018-06-19,2018-07-07,2018-07-14,USD,6,27,318,1,4,0.05,195.84,247.9,991.6,783.36,208.24,942.02
"SO - 000271",Distributor,WARE-UHY1004,2017-12-31,2018-06-19,2018-06-26,2018-06-28,USD,21,12,217,21,7,0.3,139.36,174.2,1219.4,975.52,243.88,853.58
"SO - 000274",Online,WARE-NMK1003,2017-12-31,2018-06-20,2018-07-09,2018-07-11,USD,16,44,122,3,2,0.075,115.78,241.2,482.4,231.56,250.84,446.22
"SO - 000275",In-Store,WARE-NMK1003,2010-04-18,2018-06-20,2018-07-12,2018-07-17,USD,11,24,200,47,1,0.2,139.36,174.2,174.2,139.36,34.84,139.36
"SO - 000283",Wholesale,WARE-NMK1003,2010-04-18,2018-06-21,2018-07-16,2018-07-21,USD,27,11,128,46,7,0.1,412.72,938,6566,2889.04,3676.96,5909.4
"SO - 000285",Distributor,WARE-NMK1003,2010-04-18,2018-06-22,2018-07-16,2018-07-24,USD,24,4,177,33,5,0.1,374.53,871,4355,1872.65,2482.35,3919.5
"SO - 000290",In-Store,WARE-NMK1003,2010-04-18,2018-06-22,2018-07-10,2018-07-20,USD,11,6,127,39,1,0.075,390.61,710.2,710.2,390.61,319.59,656.94
"SO - 000312",Distributor,WARE-UHY1004,2010-04-18,2018-06-26,2018-07-01,2018-07-11,USD,22,41,228,25,8,0.075,95.68,227.8,1822.4,765.44,1056.96,1685.72
"SO - 000313",Distributor,WARE-NMK1003,2010-04-18,2018-06-26,2018-07-20,2018-07-24,USD,22,35,180,29,7,0.05,123.95,167.5,1172.5,867.65,304.85,1113.88
"SO - 000327",Online,WARE-UHY1004,2010-04-18,2018-06-27,2018-07-06,2018-07-13,USD,18,48,252,29,5,0.075,821.69,978.2,4891,4108.45,782.55,4524.18
"SO - 000328",In-Store,WARE-PUJ1005,2010-04-18,2018-06-27,2018-07-14,2018-07-18,USD,4,28,275,45,3,0.05,120.2,174.2,522.6,360.6,162,496.47
"SO - 000332",Online,WARE-PUJ1005,2010-04-18,2018-06-28,2018-07-18,2018-07-26,USD,17,19,297,9,2,0.3,120.47,207.7,415.4,240.94,174.46,290.78
"SO - 000347",In-Store,WARE-NBV1002,2010-04-18,2018-06-29,2018-07-24,2018-07-29,USD,8,25,80,43,8,0.05,599.38,951.4,7611.2,4795.04,2816.16,7230.64
"SO - 000357",Online,WARE-XYS1001,2010-04-18,2018-06-30,2018-07-24,2018-07-29,USD,18,49,6,9,8,0.075,739.61,891.1,7128.8,5916.88,1211.92,6594.14
"SO - 000361",Wholesale,WARE-MKL1006,2010-04-18,2018-07-01,2018-07-04,2018-07-09,USD,28,44,362,45,1,0.075,527.63,837.5,837.5,527.63,309.87,774.69
"SO - 000370",Distributor,WARE-XYS1001,2010-04-18,2018-07-02,2018-07-07,2018-07-11,USD,24,9,45,18,7,0.15,610.5,911.2,6378.4,4273.5,2104.9,5421.64
"SO - 000371",Distributor,WARE-UHY1004,2010-04-18,2018-07-02,2018-07-04,2018-07-06,USD,21,26,238,22,3,0.4,379.89,904.5,2713.5,1139.67,1573.83,1628.1
"SO - 000372",Online,WARE-NMK1003,2010-04-18,2018-07-02,2018-07-08,2018-07-18,USD,18,21,128,5,3,0.05,410.04,911.2,2733.6,1230.12,1503.48,2596.92
"SO - 000373",Online,WARE-XYS1001,2010-04-18,2018-07-02,2018-07-08,2018-07-11,USD,19,6,39,21,5,0.3,134.4,227.8,1139,672,467,797.3
"SO - 000374",In-Store,WARE-NBV1002,2010-04-18,2018-07-02,2018-07-21,2018-07-27,USD,3,14,69,40,4,0.075,117.12,254.6,1018.4,468.48,549.92,942.02
"SO - 000375",Wholesale,WARE-XYS1001,2017-12-31,2018-07-02,2018-07-20,2018-07-21,USD,27,33,29,35,3,0.075,444.21,683.4,2050.2,1332.63,717.57,1896.44
"SO - 000378",In-Store,WARE-NMK1003,2010-04-18,2018-07-04,2018-07-24,2018-08-03,USD,4,10,199,20,4,0.05,536.27,924.6,3698.4,2145.08,1553.32,3513.48
"SO - 000381",Distributor,WARE-NBV1002,2010-04-18,2018-07-04,2018-08-01,2018-08-08,USD,23,17,80,47,2,0.3,538.48,944.7,1889.4,1076.96,812.44,1322.58
"SO - 000383",In-Store,WARE-NMK1003,2010-04-18,2018-07-04,2018-07-19,2018-07-25,USD,6,11,146,41,5,0.05,70.35,167.5,837.5,351.75,485.75,795.62
"SO - 000387",Distributor,WARE-NMK1003,2010-04-18,2018-07-04,2018-07-07,2018-07-16,USD,21,31,190,29,3,0.1,572.18,938,2814,1716.54,1097.46,2532.6
"SO - 000389",Wholesale,WARE-UHY1004,2010-04-18,2018-07-04,2018-07-19,2018-07-25,USD,28,20,205,19,8,0.15,112.23,167.5,1340,897.84,442.16,1139
"SO - 000391",Online,WARE-UHY1004,2010-04-18,2018-07-05,2018-07-16,2018-07-19,USD,13,30,242,28,3,0.1,466.92,676.7,2030.1,1400.76,629.34,1827.09
"SO - 000392",In-Store,WARE-NMK1003,2010-04-18,2018-07-05,2018-07-11,2018-07-18,USD,4,47,162,24,2,0.075,82.08,167.5,335,164.16,170.84,309.88
"SO - 000399",Wholesale,WARE-NBV1002,2017-12-31,2018-07-05,2018-07-10,2018-07-17,USD,26,18,83,3,8,0.3,172.46,221.1,1768.8,1379.68,389.12,1238.16
"SO - 000416",Wholesale,WARE-UHY1004,2010-04-18,2018-07-08,2018-07-10,2018-07-15,USD,28,30,256,13,7,0.1,449.24,998.3,6988.1,3144.68,3843.42,6289.29
"SO - 000417",Online,WARE-NMK1003,2010-04-18,2018-07-08,2018-07-30,2018-08-05,USD,18,48,148,31,2,0.075,127.3,254.6,509.2,254.6,254.6,471.01
"SO - 000418",Online,WARE-XYS1001,2010-04-18,2018-07-08,2018-08-02,2018-08-05,USD,13,13,6,38,5,0.4,316.58,703.5,3517.5,1582.9,1934.6,2110.5
"SO - 000422",Wholesale,WARE-NMK1003,2010-04-18,2018-07-09,2018-07-12,2018-07-14,USD,28,32,150,7,4,0.05,368.1,897.8,3591.2,1472.4,2118.8,3411.64
"SO - 000424",Online,WARE-NMK1003,2010-04-18,2018-07-09,2018-07-13,2018-07-20,USD,15,46,102,22,3,0.05,206.23,254.6,763.8,618.69,145.11,725.61
"SO - 000428",In-Store,WARE-NBV1002,2010-04-18,2018-07-09,2018-07-29,2018-07-31,USD,3,4,69,41,6,0.05,100.5,167.5,1005,603,402,954.75
"SO - 000430",Distributor,WARE-NMK1003,2010-04-18,2018-07-09,2018-08-06,2018-08-07,USD,22,38,137,3,8,0.05,665.71,924.6,7396.8,5325.68,2071.12,7026.96
"SO - 000432",Online,WARE-PUJ1005,2010-04-18,2018-07-09,2018-07-27,2018-08-01,USD,15,19,283,43,7,0.1,450.24,938,6566,3151.68,3414.32,5909.4
"SO - 000437",Distributor,WARE-UHY1004,2010-04-18,2018-07-11,2018-07-16,2018-07-22,USD,21,11,225,2,8,0.15,104.52,261.3,2090.4,836.16,1254.24,1776.84
"SO - 000441",In-Store,WARE-UHY1004,2010-04-18,2018-07-11,2018-08-05,2018-08-11,USD,11,33,216,14,1,0.05,492.05,964.8,964.8,492.05,472.75,916.56
"SO - 000443",In-Store,WARE-NMK1003,2010-04-18,2018-07-11,2018-07-25,2018-08-02,USD,2,12,190,45,7,0.2,781.49,964.8,6753.6,5470.43,1283.17,5402.88
"SO - 000445",Online,WARE-PUJ1005,2010-04-18,2018-07-11,2018-07-31,2018-08-06,USD,16,43,319,6,8,0.05,74.17,180.9,1447.2,593.36,853.84,1374.84
"SO - 000446",Distributor,WARE-NMK1003,2010-04-18,2018-07-11,2018-08-07,2018-08-08,USD,22,23,96,24,7,0.05,346.12,844.2,5909.4,2422.84,3486.56,5613.93
"SO - 000468",Online,WARE-NMK1003,2010-04-18,2018-07-13,2018-07-27,2018-08-03,USD,13,42,90,3,2,0.15,594.96,991.6,1983.2,1189.92,793.28,1685.72
"SO - 000475",Distributor,WARE-UHY1004,2010-04-18,2018-07-14,2018-07-17,2018-07-23,USD,21,49,211,44,1,0.05,694.66,964.8,964.8,694.66,270.14,916.56
"SO - 000477",Distributor,WARE-PUJ1005,2010-04-18,2018-07-15,2018-08-07,2018-08-09,USD,21,30,316,30,5,0.05,548.86,857.6,4288,2744.3,1543.7,4073.6
"SO - 000481",Online,WARE-NMK1003,2010-04-18,2018-07-15,2018-08-03,2018-08-12,USD,18,2,91,30,8,0.05,536.54,958.1,7664.8,4292.32,3372.48,7281.56
"SO - 000482",Wholesale,WARE-NMK1003,2010-04-18,2018-07-16,2018-07-30,2018-08-07,USD,25,42,139,45,8,0.05,726.01,864.3,6914.4,5808.08,1106.32,6568.68
"SO - 000483",In-Store,WARE-NMK1003,2010-04-18,2018-07-16,2018-07-27,2018-08-05,USD,7,40,146,8,2,0.05,700.08,864.3,1728.6,1400.16,328.44,1642.17
"SO - 000484",In-Store,WARE-NMK1003,2010-04-18,2018-07-16,2018-07-29,2018-08-05,USD,1,40,194,36,6,0.075,579.22,891.1,5346.6,3475.32,1871.28,4945.61
"SO - 000486",Online,WARE-UHY1004,2010-04-18,2018-07-16,2018-07-21,2018-07-25,USD,15,23,214,14,5,0.1,469,837.5,4187.5,2345,1842.5,3768.75
"SO - 000490",Distributor,WARE-XYS1001,2010-04-18,2018-07-16,2018-07-18,2018-07-26,USD,22,11,41,16,7,0.05,187.6,234.5,1641.5,1313.2,328.3,1559.42
"SO - 000492",In-Store,WARE-MKL1006,2010-04-18,2018-07-17,2018-07-26,2018-07-29,USD,4,19,331,11,8,0.05,133.26,261.3,2090.4,1066.08,1024.32,1985.88
"SO - 000499",In-Store,WARE-PUJ1005,2010-04-18,2018-07-17,2018-08-12,2018-08-21,USD,7,28,307,4,3,0.15,80.4,201,603,241.2,361.8,512.55
"SO - 000503",In-Store,WARE-NMK1003,2010-04-18,2018-07-18,2018-08-06,2018-08-11,USD,7,50,152,32,6,0.05,675.36,964.8,5788.8,4052.16,1736.64,5499.36
"SO - 000509",Online,WARE-NMK1003,2010-04-18,2018-07-19,2018-08-10,2018-08-18,USD,15,9,186,22,4,0.05,154.37,241.2,964.8,617.48,347.32,916.56
"SO - 000512",Online,WARE-NMK1003,2010-04-18,2018-07-19,2018-07-27,2018-08-04,USD,13,17,174,44,7,0.1,135.07,241.2,1688.4,945.49,742.91,1519.56
"SO - 000517",In-Store,WARE-PUJ1005,2010-04-18,2018-07-19,2018-07-22,2018-07-31,USD,5,20,328,39,8,0.075,717.57,844.2,6753.6,5740.56,1013.04,6247.08
"SO - 000523",Distributor,WARE-NMK1003,2010-04-18,2018-07-20,2018-07-28,2018-07-31,USD,20,19,139,42,5,0.15,709.26,897.8,4489,3546.3,942.7,3815.65
"SO - 000524",Online,WARE-NBV1002,2010-04-18,2018-07-20,2018-08-03,2018-08-09,USD,14,21,70,5,5,0.2,83.08,207.7,1038.5,415.4,623.1,830.8
"SO - 000532",Online,WARE-PUJ1005,2010-04-18,2018-07-21,2018-08-16,2018-08-19,USD,19,26,304,38,7,0.15,473.15,716.9,5018.3,3312.05,1706.25,4265.56
"SO - 000534",Distributor,WARE-PUJ1005,2010-04-18,2018-07-21,2018-08-08,2018-08-12,USD,24,30,291,20,1,0.075,101.3,241.2,241.2,101.3,139.9,223.11
"SO - 000538",Online,WARE-PUJ1005,2010-04-18,2018-07-22,2018-08-13,2018-08-15,USD,18,15,295,1,7,0.075,185.72,241.2,1688.4,1300.04,388.36,1561.77
"SO - 000539",In-Store,WARE-UHY1004,2010-04-18,2018-07-22,2018-08-07,2018-08-12,USD,12,34,207,26,5,0.05,380.56,951.4,4757,1902.8,2854.2,4519.15
"SO - 000545",Distributor,WARE-NMK1003,2010-04-18,2018-07-22,2018-07-26,2018-08-05,USD,24,50,194,33,7,0.05,689.63,944.7,6612.9,4827.41,1785.49,6282.25
"SO - 000548",In-Store,WARE-XYS1001,2010-04-18,2018-07-22,2018-07-31,2018-08-02,USD,1,31,19,20,2,0.075,135.01,207.7,415.4,270.02,145.38,384.24
"SO - 000553",In-Store,WARE-MKL1006,2010-04-18,2018-07-22,2018-08-08,2018-08-14,USD,4,5,365,41,3,0.05,191.35,227.8,683.4,574.05,109.35,649.23
"SO - 000557",In-Store,WARE-MKL1006,2010-04-18,2018-07-23,2018-07-25,2018-07-28,USD,5,23,364,25,1,0.15,144.72,241.2,241.2,144.72,96.48,205.02
"SO - 000562",In-Store,WARE-NMK1003,2010-04-18,2018-07-24,2018-08-17,2018-08-24,USD,3,50,125,21,8,0.075,179.09,221.1,1768.8,1432.72,336.08,1636.14
"SO - 000564",Distributor,WARE-XYS1001,2010-04-18,2018-07-24,2018-08-10,2018-08-15,USD,22,27,41,6,5,0.075,394.5,857.6,4288,1972.5,2315.5,3966.4
"SO - 000567",Distributor,WARE-NMK1003,2010-04-18,2018-07-24,2018-08-21,2018-08-26,USD,20,10,147,17,1,0.05,121.94,234.5,234.5,121.94,112.56,222.78
"SO - 000569",In-Store,WARE-NMK1003,2010-04-18,2018-07-25,2018-08-09,2018-08-19,USD,9,1,115,32,2,0.1,87.23,207.7,415.4,174.46,240.94,373.86
"SO - 000570",Distributor,WARE-NMK1003,2010-04-18,2018-07-25,2018-08-01,2018-08-03,USD,24,8,109,8,1,0.075,125.63,167.5,167.5,125.63,41.87,154.94
"SO - 000573",Wholesale,WARE-NMK1003,2010-04-18,2018-07-25,2018-08-13,2018-08-23,USD,27,28,138,10,1,0.075,380.29,864.3,864.3,380.29,484.01,799.48
"SO - 000575",Online,WARE-PUJ1005,2010-04-18,2018-07-25,2018-08-01,2018-08-11,USD,16,3,309,11,5,0.075,163.61,247.9,1239.5,818.05,421.45,1146.54
"SO - 000594",Distributor,WARE-NMK1003,2010-04-18,2018-07-28,2018-08-01,2018-08-02,USD,25,35,109,45,1,0.15,96.48,201,201,96.48,104.52,170.85
"SO - 000595",In-Store,WARE-MKL1006,2010-04-18,2018-07-28,2018-08-10,2018-08-16,USD,1,40,362,6,6,0.075,198.32,247.9,1487.4,1189.92,297.48,1375.84
"SO - 000600",Wholesale,WARE-NMK1003,2010-04-18,2018-07-29,2018-08-19,2018-08-24,USD,28,31,187,20,1,0.15,672.01,790.6,790.6,672.01,118.59,672.01
"SO - 000604",In-Store,WARE-NMK1003,2010-04-18,2018-07-29,2018-08-25,2018-09-04,USD,2,1,199,2,5,0.1,534.33,971.5,4857.5,2671.65,2185.85,4371.75
"SO - 000605",Online,WARE-NMK1003,2010-04-18,2018-07-29,2018-08-20,2018-08-24,USD,19,34,153,34,4,0.1,478.38,938,3752,1913.52,1838.48,3376.8
"SO - 000606",Online,WARE-XYS1001,2010-04-18,2018-07-29,2018-08-24,2018-08-25,USD,16,49,27,20,5,0.2,756.9,958.1,4790.5,3784.5,1006,3832.4
"SO - 000612",Distributor,WARE-MKL1006,2010-04-18,2018-07-30,2018-08-07,2018-08-10,USD,23,41,362,15,3,0.05,621.76,971.5,2914.5,1865.28,1049.22,2768.78
"SO - 000624",Distributor,WARE-PUJ1005,2010-04-18,2018-08-01,2018-08-07,2018-08-15,USD,23,29,287,38,8,0.1,160.8,201,1608,1286.4,321.6,1447.2
"SO - 000627",Online,WARE-XYS1001,2010-04-18,2018-08-01,2018-08-05,2018-08-13,USD,18,33,22,31,8,0.05,135.01,207.7,1661.6,1080.08,581.52,1578.52
"SO - 000628",Online,WARE-NMK1003,2010-04-18,2018-08-01,2018-08-24,2018-08-30,USD,20,41,115,10,6,0.2,180.9,241.2,1447.2,1085.4,361.8,1157.76
"SO - 000633",In-Store,WARE-MKL1006,2010-04-18,2018-08-02,2018-08-20,2018-08-29,USD,8,37,334,23,5,0.15,180.57,234.5,1172.5,902.85,269.65,996.62
"SO - 000634",In-Store,WARE-PUJ1005,2010-04-18,2018-08-02,2018-08-15,2018-08-22,USD,7,10,283,34,2,0.15,507.26,757.1,1514.2,1014.52,499.68,1287.07
"SO - 000638",Online,WARE-NBV1002,2010-04-18,2018-08-03,2018-08-24,2018-08-26,USD,13,48,60,40,3,0.15,536.27,924.6,2773.8,1608.81,1164.99,2357.73
"SO - 000652",In-Store,WARE-MKL1006,2010-04-18,2018-08-04,2018-08-13,2018-08-17,USD,4,36,347,30,3,0.1,161.6,241.2,723.6,484.8,238.8,651.24
"SO - 000661",Online,WARE-UHY1004,2010-04-18,2018-08-04,2018-08-17,2018-08-22,USD,18,7,214,14,3,0.05,75.04,187.6,562.8,225.12,337.68,534.66
"SO - 000663",Online,WARE-XYS1001,2010-04-18,2018-08-04,2018-08-19,2018-08-21,USD,17,32,15,20,1,0.15,592.62,971.5,971.5,592.62,378.88,825.78
"SO - 000665",Online,WARE-UHY1004,2010-04-18,2018-08-05,2018-08-23,2018-08-27,USD,18,33,208,2,6,0.4,501.29,864.3,5185.8,3007.74,2178.06,3111.48
